font,char,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40
aubrey,0,-0.697211,2.114255,-0.278335,2.207889,-0.049326,-1.936944,-1.051138,0.645435,-1.879691,1.226945,-2.001521,1.219019,-0.484995,2.753225,-1.116854,-0.352366,-0.497424,-0.586545,0.391945,1.062733,-0.146586,0.665132,-0.17889,1.050151,0.327033,0.246992,0.75851,0.536622,-0.455845,0.392186,0.019751,-0.243079,-0.164772,-0.160236,-0.148881,-0.185018,0.085741,-0.444148,-0.282048,0.095545,-0.0
aubrey,1,1.893935,-8.285384,-4.176646,-3.042786,-2.378757,-2.227855,-1.027088,0.315707,0.109261,-0.810365,-0.019685,-0.253341,0.577129,1.006044,0.429003,0.811813,0.023005,1.415178,0.529712,0.355201,-1.35094,-0.202424,-0.570062,0.373554,0.92493,0.37322,1.177444,1.521722,1.015872,0.419968,-0.450291,0.121929,-0.579176,-0.647049,-1.343509,0.666671,0.127277,0.133392,-1.628927,1.436895,-0.0
aubrey,2,1.931274,-6.79371,3.186707,5.517395,-2.754117,0.736846,1.377449,-2.007376,-0.49607,-3.889212,-0.892676,0.504002,2.695997,1.197734,-2.72096,-1.228204,-0.673091,0.95059,-0.842823,0.541706,-1.191796,0.817269,0.345254,-0.233767,-0.727858,0.26417,0.262204,0.635692,0.019509,-0.488741,0.282938,0.045588,-0.615843,0.590032,0.003601,-0.027154,0.053202,0.13575,-0.032807,0.321652,-0.0
aubrey,3,1.126018,-6.576248,-0.142219,-1.904477,-3.236717,-0.319413,-2.814747,2.808792,0.39701,0.738932,4.51039,0.732843,-2.168328,3.290848,-0.646841,-1.365432,-0.027772,-1.376734,-0.165765,-1.427961,1.107409,-2.24605,-1.758207,-0.660099,0.754625,0.138746,-0.295468,0.016632,-0.562844,0.355504,-0.305531,-0.067148,-0.44988,0.325087,-4.7e-05,0.392346,0.03221,0.424982,-0.208523,-0.064491,0.0
aubrey,4,20.901842,0.853194,4.063159,0.432107,-3.035398,-1.448976,0.806389,2.238833,0.356269,0.65794,-0.662765,0.4125,-0.098444,-0.207325,0.263478,-0.175411,-0.684463,-0.664034,-0.035023,-0.045534,0.134029,-0.075124,-0.256713,0.383548,-0.039593,-0.037428,0.502999,-0.080783,0.191627,-0.038306,0.305052,-0.27661,-0.00414,-0.038508,-0.279117,0.184604,-0.071555,0.041667,-0.008013,0.022439,0.0
aubrey,5,-1.101243,-5.356768,3.070461,-0.384401,2.710825,0.718013,1.346382,0.373458,-2.480785,2.156961,1.510281,0.807412,0.954874,-1.172885,-2.857482,0.330495,-0.391164,-0.883644,2.571065,1.165578,1.201433,0.726711,1.067456,0.832188,1.540886,0.649613,0.869196,0.413259,-0.481731,0.590468,0.458022,-0.975979,-1.126032,-0.509594,0.923232,0.234834,1.027902,0.307344,0.679877,0.300812,-0.0
aubrey,6,4.774592,-1.47807,-0.023052,1.929919,-3.242601,-0.796668,0.682655,-2.871688,0.586411,1.929058,2.480883,0.369974,-2.072115,0.252004,3.608073,-0.830807,0.249941,-1.865638,-1.104639,1.186946,-0.745539,-1.694869,1.257545,0.744967,1.240476,-1.543587,0.006207,0.602833,-0.345978,0.870112,1.092006,0.389263,-0.259463,-0.607253,0.705888,-0.14562,-0.341397,0.336138,-0.335209,1.099988,-0.0
aubrey,7,-7.839096,-0.639628,2.478079,5.043662,3.960743,-1.021902,-0.403843,-4.263339,0.651583,1.037643,-2.496262,-2.190439,1.011412,-1.072874,-0.112665,-1.462019,0.394226,0.078672,0.594798,-0.849286,-1.579685,-0.169055,1.177952,-0.966176,0.021562,-1.082222,-0.344009,-0.469837,0.541051,-0.690089,-0.056323,-0.01325,-0.029599,0.316634,-0.349223,0.000665,-0.275208,-0.520366,-0.081185,0.157445,-0.0
aubrey,8,-1.09748,-2.439293,-1.325171,1.926773,-3.217898,2.151338,0.546262,-0.308732,1.756059,2.832562,-0.844702,1.782058,-1.406835,-1.939376,0.542073,0.239093,-0.042374,-0.133059,-3.784879,1.870201,-0.430645,-0.38335,-0.33118,-0.339481,0.425118,-1.409315,1.774038,-0.008333,0.755872,-0.801733,-1.29357,-0.838925,-2.391302,0.591021,0.477434,-0.094738,-0.153867,-0.509632,-0.810951,0.475522,-0.0
aubrey,9,6.111568,3.59873,3.670651,-2.386948,-2.038359,-0.252736,3.903873,2.168024,2.509397,-1.559257,-0.591078,1.422724,2.486578,-0.97682,0.92691,0.471908,-0.240496,2.25117,-1.304087,0.974509,0.92344,0.497257,-0.66029,0.163252,1.734936,0.294822,0.189091,-0.057042,0.521788,-0.107212,0.218593,-0.560815,-1.044935,0.418138,-0.353588,-0.16993,0.221348,-0.356285,0.266374,-0.170776,-0.0
aubrey,A,9.319691,0.592878,6.004702,1.169881,-2.714483,-4.661709,3.20532,-2.33022,-1.171183,-1.536824,-0.286436,1.83334,0.07713,-0.334851,0.719298,0.525574,0.266392,-0.263454,1.035989,1.127741,1.53168,0.155931,-0.907412,0.676467,0.571421,2.149291,-0.169053,-1.20548,-1.464894,-0.142726,0.700074,-0.576747,-0.96513,-0.815072,-0.59127,0.287178,-0.655258,-0.082817,0.241494,1.177033,0.0
aubrey,B,3.153808,1.414247,3.41955,-0.09451,-1.055056,2.739334,-2.447368,-0.774462,2.267856,-0.908957,-0.150952,-2.372835,1.795689,-1.859557,0.894015,-1.028823,1.744163,-1.328577,0.619276,-0.422365,1.9194,1.40455,0.129929,-0.576907,-1.436679,0.127353,0.05665,0.669069,0.203108,0.179561,-0.612786,-0.489993,-0.15795,-0.030198,-1.744763,-1.390362,-0.280428,2.487951,-0.180292,1.058039,-0.0
aubrey,C,8.655001,4.618297,0.518078,-3.398089,-2.322982,-1.464257,-0.843164,0.170399,-1.457699,-1.1645,1.132605,-0.027662,-0.265608,0.407686,-0.089561,0.383437,-0.604353,-0.156168,-0.481144,-0.172409,-0.369098,-0.300665,-0.041661,-0.186062,-0.700577,-0.150564,-0.128515,-0.313081,0.616064,0.395561,-0.245434,0.025296,-0.03614,0.095119,0.013598,0.101781,0.221146,-0.165171,0.143145,0.090576,-0.0
aubrey,D,-1.643457,-3.327902,2.544509,-0.997207,-0.103507,-2.198561,1.566057,0.718082,-0.062361,0.715649,0.371938,-0.447629,-2.238443,1.772698,0.077366,-0.659028,0.951437,-0.717073,0.557295,0.71355,-0.541421,-0.704836,-0.630592,0.762879,0.064251,0.027138,0.58875,-0.620845,-0.141267,-0.292026,-0.771422,-0.20368,-0.188271,0.27567,-0.254957,0.290163,-0.066783,0.173648,0.445645,-0.043711,0.0
aubrey,E,-0.030996,6.069526,-4.258529,0.698684,2.853915,-2.496417,1.865899,0.304157,3.140288,-2.323253,0.378452,-0.510463,-1.19505,-0.610867,-0.756603,1.166006,0.202993,0.660194,-1.481073,-2.260069,-1.608897,1.681248,-0.74421,1.174454,-1.597548,-0.028314,-0.394282,0.267193,0.842606,0.42239,-0.103253,-0.484088,-0.812742,1.418809,0.334531,-0.191966,0.659551,0.092603,-0.203879,-0.417036,0.0
aubrey,F,8.19384,-0.100328,5.504,1.370128,1.924391,-3.268553,0.564746,0.482026,-2.873767,1.536286,-2.584759,0.376912,0.513116,2.469801,0.096623,-3.533096,-1.71658,0.021581,0.571524,1.81598,0.076446,0.680482,1.094778,0.724365,-1.592817,-0.254343,-0.085359,0.399426,-0.914731,-0.126904,-0.111871,-1.019749,0.807791,1.032677,0.50299,0.799679,-0.499341,0.326971,0.189562,-0.508529,-0.0
