id,uuid,img_url,thumbnail
00097,vk72541d543a3bc41dca4ffdc987bcf5948,https://ids.si.edu/ids/deliveryService?id=SAAM-1982.102.3_1,"https://ids.si.edu/ids/iiif/SAAM-1982.102.3_1/full/250,/0/default.jpg"
00098,vk78e6c1626dcc641e5ab78bf342823bda2,https://ids.si.edu/ids/deliveryService?id=SAAM-1982.102.2_1,"https://ids.si.edu/ids/iiif/SAAM-1982.102.2_1/full/250,/0/default.jpg"
00099,vk7807dac5d20a144329a57a3e711e1086a,https://ids.si.edu/ids/deliveryService?id=SAAM-1982.102.1_1,"https://ids.si.edu/ids/iiif/SAAM-1982.102.1_1/full/250,/0/default.jpg"
00105,vk7dc83dd8be2584798a2c97ee7fa12b103,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.53.18_1,"https://ids.si.edu/ids/iiif/SAAM-1980.53.18_1/full/250,/0/default.jpg"
00164,vk7aeaff66e5034426795f21d56bcd8ee0e,https://ids.si.edu/ids/deliveryService?id=SAAM-1962.3.3_2,"https://ids.si.edu/ids/iiif/SAAM-1962.3.3_2/full/250,/0/default.jpg"
00165,vk798631b77600444eea15109181ef189ed,https://ids.si.edu/ids/deliveryService?id=SAAM-1962.3.2_1,"https://ids.si.edu/ids/iiif/SAAM-1962.3.2_1/full/250,/0/default.jpg"
00166,vk76115c67c73444ce5a67677d4f2f67d36,https://ids.si.edu/ids/deliveryService?id=SAAM-1962.3.1_1,"https://ids.si.edu/ids/iiif/SAAM-1962.3.1_1/full/250,/0/default.jpg"
00539,sm42b5ca76cdc7047b3970ad9da9d95a0b4,https://ids.si.edu/ids/deliveryService?id=NPG-7810390A_1,"https://ids.si.edu/ids/iiif/NPG-7810390A_1/full/250,/0/default.jpg"
01342,sm4cd36905b0b5b41c589d122c70b33876c,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_999,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_999/full/250,/0/default.jpg"
01343,sm4a17a0802dd764240b6ef8bf5930f8969,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_998,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_998/full/250,/0/default.jpg"
01344,sm48e6a2649f2ce48aab603377509fea9d1,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_997,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_997/full/250,/0/default.jpg"
01345,sm4bc8d0946e25c4b62aad848bd6e3a434b,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_996,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_996/full/250,/0/default.jpg"
